"Title","Authors","Abstract"
"Using dynamic Web technologies to collaboratively develop an inter-institutional consumer health Website","Gerald Perry, AHIP, head, Information Services; and Kristin Antelman, head, Systems and Networking; Arizona Health Sciences Library, University of Arizona–Tucson","Purpose: This presentation describes the University of Arizona, Arizona Health Sciences Library’s history using Web application server software, focusing on key knowledge gained with each successive project. It will describe the library’s most recent project, involving Web-based forms for onand off-campus update and modification of content to a backend database to support a collaborative, inter-institutional consumer health information Website. Setting/Participants/Resources: Staff at the Arizona Health Sciences Library have been using Web application server software to deliver enhanced dynamic functionality for a variety of Website projects. With each iteration, library staff has been able to apply a growing body of knowledge about this technology and its uses. The first project involved creating dynamic content for the library’s Website, integrating several Microsoft Access backend databases and using Allaire’s Cold Fusion Web application server software. For the second project, once again involving Cold Fusion, staff were able to deliver access to more than 1,500 diverse Web-based information resources on behalf of a thirty-plus member statewide consortium of health care institutions. The consortium site featured an increase in database design complexity, with the library moving to a single Microsoft SQL Server database. The result was a significant increase in the site’s functionality and navigability. Brief Description: The library’s latest, "third generation" Web application server project found the staff collaboratively developing a Website for a consumer health information initiative involving the library and the regional public library system. Library staff once again used Cold Fusion, a single SQL Server database, a more ambitious model for creating a fully database-driven Website, and introduced a Web form for delivering content into the backend database to allow off-campus partners to participate in developing and maintaining the Website’s content. Results/Outcomes/Evaluations: A usability study will be launched jointly by the Arizona Health Sciences Library and the regional public library to gauge the effectiveness of the jointly developed Website, focusing on ease of navigation and ability to locate information as needed. This third generation initiative has already proved successful, however, in that library staff have developed the skills to permit multi-site, offnetwork collaboration on Web-based database projects."
"Transforming interlibrary loans for the digital library","Karen A. Butter, AHIP, deputy director, Library and Center for Knowledge Management, University of California–San Francisco","Purpose: This poster will report on a restructuring of the interlibrary loans process as part of a major focus on resource sharing within the University of California (UC). Two components of the initiative include an aggressive program to license electronic content and the development and implementation of a system that automates the requesting and fulfillment process for faculty and students and improves workflow for library staff. With custom programming, the integration of a commercial system and changes in policies and procedures, Request adds a new level of functionality to the California Digital Library. Setting/Participants/Resources: This project is under the leadership of the California Digital Library, a collaborative effort of the University of California campuses, five of which are academic health sciences centers. Brief Description: California’s economic downturn in the 1990s plus the rising cost of information brought a renewed focus on resource sharing for the University of California system. A new service, Request, was built upon technology to facilitate the request and transmission of print materials from one campus to another and development of systems that allow faculty and students to easily access information from the university’s shared digital collections. The automatic user-initiated Request for materials located on other campuses was established in January 1999 to support the efficient sharing of print collections across all UC campuses. Results/Outcome: Request quickly gained widespread acceptance from UC faculty and students. UC library staff, who have been instrumental in its design, acknowledge its value in improving the efficiency of operations. Evaluation Method: Throughout the multiyear project objective and subjective studies have been conducted. The results of evaluation studies will be presented including suggestions for future development."
"How computer literate are first-year medical students? Results of an online assessment","Susanne Markgren, reference librarian; Lynn Kasner Morgan, AHIP, assistant dean, Information Resources and Systems, and library director; Alan Krissoff, reference coordinator; Lynn Peperone, reference librarian; and Pauline Beam, reference librarian; Levy Library, Mount Sinai School of Medicine, New York, NY","Purpose: This poster will discuss an online computer and informatics assessment given to first-year medical students at the Mount Sinai School of Medicine. It will cover the reason we chose to conduct the assessment over the Web and its development, implementation, and results. Setting/Participation: Using Web CT, the institutional platform for delivering Web-based education, we developed the Computer, Internet, and Library Skills Assessment. Students could log in from any Internet-connected computer and complete the assessment. All 107 incoming medical students were required to take the assessment within the first three weeks of classes in August 2000. Description: The reference staff of the Levy Library was asked by the medical school to develop an instruction program that would ensure that all medical students, by the time of graduation, demonstrate expertise in the core competencies and objectives outlined in the Association of American Medical Colleges’ Medical School Objectives Project. Before embarking on an ambitious instructional program to address basic computer and informatics skills, we decided to develop a Web-based assessment that would be administered to all first-year medical students at the beginning of their four-year program. It was our hypothesis that the majority of students already possessed these skills. If we are correct, our core curriculum time could be used to both refine and teach more advanced skills. By assessing the students online, we were able to quickly compile and evaluate the results and subsequently develop remedial and advanced classes. The results will be used to develop future Webbased courses and assessments in library science and medical informatics. Results/Outcome: Of 107 students, 94% completed all five sections of the assessment. Out of these, more than 90% scored 75% or above on all sections. Those who did not meet the minimum standard will be required to take a refresher course in the subject they did not pass. Evaluation Method: The structure of the assessment, questions asked, results, and evaluation will be discussed in the poster."
"Copyright permission odyssey: direct requests versus the CCC","James D. Prince, librarian; Beverly Gresehover, assistant director, Access Services; and Lolita Heimbach, reserve circulation supervisor; Health Sciences and Human Services Library, University of Maryland–Baltimore","Purpose: This poster will determine the most efficient means of obtaining copyright permissions for electronic reserves collection readings and detect any emerging trends in the relationships between publishers and the Copyright Clearance Center (CCC). Setting/Subjects: The Health Sciences and Human Services Library of the University of Maryland–Baltimore, is an academic health sciences library with an extensive electronic reserve collection. Our subjects for this poster are the Copyright Clearance Center and publishers and copyright holders that grant copyright permissions with regard to electronic reserves collections. Methodology: This is a case study, tracing the steps necessary to acquire copyright permissions for electronic reserves, comparing publisherdirect requests to CCC requests. Results: This project is in progress. The research is not completed. Discussion/Conclusion: Early data indicate that reserves units must make use of both services in order to complete copyright permissions, but that publishers grant more generous permissions and more cheaply, while the CCC is faster in turn-around and has more uniform interaction. We anticipate that our results will provide indicators that will enable us to fine-tune our process."
"Reconceptualizing the Web: designing and implementing a user-oriented consumer health information (CHI) Website","Michele Klein-Fedyshin, DM, AHIP, manager, University of Pittsburgh Medical Center Shadyside, Pittsburgh, PA; Charles Wessel, manager; Jody Wozar, reference librarian; Amy Gregg, reference librarian; and Paul Worona, assistant director; Falk Library of the Health Sciences, University of Pittsburgh, Pittsburgh, PA","As an institution starting fresh with consumer health information (CHI), the Health Science Library System of the University of Pittsburgh had an open mind when designing a totally new CHI site. The planning team assembled a unique cross-section of information systems (IS), CHI, IAIMS, and library staff to collaborate. This group deferred the idea of a site consisting totally of lists of links. Our target audience lacked Web experience, representing an older, less affluent population. Our Website needed a structured approach that would guide inquirers, explain why a Website might be worthwhile, and offer selected, quality links. Our resulting effort is structured to promote learning about individual health or disease issues and builds progressively from dictionary definitions, through health topics, drug information, medical tests and procedures, local resources, evidence-based medicine, and physician referral sections. This structured approach allows consumers to build an understanding of a topic, which in turn can help them to formulate queries regarding the tests, treatment, and prognosis for their condition. Each section has a special feature called Keys to Information, which supplements the Internet resources listed on the site. The keys provide information tips, searching hints, detailed descriptions of Internet resources and list additional sources of information such as books and community resources. Information about regional agencies and organizations in Pittsburgh and surrounding areas, including address and phone numbers, is an important feature of the site. Many patients and families seek information to enable them to make informed health care decisions. The Evidence-Based Medicine and Decision-making section of the site links to compilations of health care guidelines, outcomes, and protocols. Some sites assess the effectiveness of health care interventions based on clinical evidence, while others offer medical protocols based on broad professional consensus. This innovative site seeks to go beyond traditional Web pages in both its format and content. It incorporates learning objectives into information presentation."
"Bridging the gap in rural health information services: Georgia’s rural health information","Rita B. Smith, RHIC librarian, Medical Library and Learning Resource Center, Mercer University, Macon, GA","Purpose: This poster will report on the creation and growth of Georgia’s Rural Health Information Clearinghouse (RHIC), an information service for health care administrators, planners, and others interested in rural health issues. Setting/Participants/Resources: The mission of the Mercer University School of Medicine is to educate physicians to meet the health care needs of Georgia’s rural and underserved areas. In support of this mission, the Rural Health Information Clearinghouse and an accompanying fulltime MLIS position were created in an attempt to provide a central information reference service to assist planners and providers in solving rural health care delivery problems. Brief Description: RHIC was collaboratively established in 1996 by the State Office of Rural Health and Primary Care, the Georgia Statewide Area Health Education Center Network, and the Mercer University Medical Library. RHIC is based at the Mercer University Medical Library, which now provides sole financial support for the project. Targeted toward Georgia health care planners and providers, RHIC provides free access to rural health resources and specialized reference services. RHIC provides database searches, current literature and news alerts, assistance in the location of funding opportunities and supporting literature, and referral to appropriate agencies and experts. While other initiatives in the state target outreach efforts toward the clinical needs of rural health care practitioners, RHIC directs its services toward hospital administrators, county commissioners, and others interested in health care administration and delivery issues common to rural areas. Results/Outcome: RHIC’s use and recognition have grown markedly since its inception. RHIC continually promotes its services through efforts such as attendance and exhibits at relevant conferences, maintenance of a Website showcasing RHIC resources and services, and a monthly email alert spotlighting rural health funding opportunities, meetings, useful Websites, and more."
"Responding to the needs of researchers with health sciences data sets resources","Peggy Tahir, information services librarian; Min-Lin Fang, information services librarian; and Jacqueline Wilson, information services librarian; Library and Center for Knowledge Management, University of California–San Francisco","Purpose: This poster will report on a project to assess researchers’ needs and uses of health sciences data sets (computer files of research data) to develop a new library service. Setting/Participants/Resources: The Library and Center for Knowledge Management at the University of California–San Francisco (UCSF) is a large academic health sciences library supporting a campus dedicated only to graduate and professional study in the health sciences. Researchers need access to data sets for their investigations, publications, teaching, and professional practice. As there is currently no coordinated program on campus to assist researchers with finding and accessing data sets, the library is evaluating the need for such a service. A team of professional staff from the reference department, data management services, information technology, and technical services is working on this project. Brief Description: The project assesses the current availability of data sets and tools in the library’s collections, on the UCSF or other UC campuses, or via state, federal, or other agencies. A survey using Web-based conferencing software (Facilitate.com) was developed to determine the needs of researchers on campus for data sets resources. Based on the survey results, we are investigating ways the library can provide services to assist clientele who need access to these resources. The team is developing Web pages that will point to key data sets resources available either via the Web or in our collections. We are also exploring other academic data services as potential models for our service. Results/Outcome: This project has provided an excellent venue for working on collaborative teams across library departments, as well as between the library and campus departments. The poster will discuss the lessons learned by this collaborative process, including campus political issues that came to light working with departments and faculty outside the library. Preliminary survey results are providing us with an understanding of current practices for obtaining and using data sets and the future needs of researchers on campus. Evaluation Method: Once we have final survey results, we will determine resources needed in order to move forward with possible implementation of a data sets service for the campus community."
"Collaboration: the key to building a quality Website","Diane Fuller, information specialist; Alexa Mayo, assistant director, Information and Instructional Services; and Patricia Hinegardner, AHIP, information specialist and Web manager; Health Sciences and Human Services Library, University of Maryland–Baltimore","Introduction: This poster will focus on the interrelationships among individuals, committees, and work groups from within the library and across campus that participated in the library Web redesign. Challenges and benefits inherent in this team approach will be discussed. Collaborative initiatives from other institutions will also be reviewed. Brief Description: The Health Sciences and Human Services Library (HS/HSL), University of Maryland, launched its original Website in 1996. In the fall of 1999, the library determined that the Website needed to be completely redesigned. The goal was to provide better organization, improve navigability, and design a more up-to-date look. The HS/HSL Web Redesign Committee directed the project in collaboration with other units on campus. To better understand the impact of collaboration on Website development, selected public, academic, and health sciences libraries were surveyed to determine who influences or participates in Website design. Results/Outcome: The challenges and successes of the HS/HSL experience and the results of the survey will be discussed."
"Don’t throw out that (dis)integrated library management system yet, use it to track your library’s activities!","Laurel Graham, media librarian; Linda J. Walton, associate director; June Carter, reference librarian; and Kurt I. Munson, head of User Services; Galter Health Sciences Library, Northwestern University, Chicago, IL","Without statistics, a library is just four walls in need of funding. Statistics prove libraries are vital components of society. Unfortunately, statistics are elusive creatures; staff forgets to check them, or random sampling tells little about the actual activities of the librarians and staff. But every year, statistics are reviewed and submitted and budgets are influenced. When our library attempted to increase the quality and quantity of our statistics, we tracked statistics in an Access database. This proved to be too time consuming, and as a result statistics were underreported. To counteract the disparity between the statistics and our actual work, we have begun collecting statistics electronically through our circulation module’s browse count utility. The library employs the Voyager integrated library management system for circulation, cataloging and acquisitions, and reporting. Implementation included installation of scanners and circulation modules at service stations without them and creation of records corresponding to each transaction by location and time of day. Statistics are collected by scanning a barcode on a plastic covered card in discharge mode. Reports are easily compiled through Impromptu, a report software add-on. Through Voyager, we could even choose to import our statistics to Access or Excel for further analysis and manipulation. The browse count utility has proved incredibly easy to implement and use for statistics collection and analysis. This system allows statistics to be kept at every service point, not done before, in a uniform manner without any manual data entry of hash marks into a database. Now reporting our activities to our funding institution, AAHSL, and ARL is a simpler process and more reflective of our busy library’s activities."
"How we view ourselves: librarians of the twenty-first century","Margaret Vugrin, AHIP, reference librarian, Health Sciences Center Library, and Hershel Womack, assistant professor, Photocommunications, School of Mass Communications, Texas Tech University–Lubbock","Our profession frequently examines stereotypes of librarians as they are presented in the non-library media (i.e., television, movies, or magazines). We are very much interested in the visual portrayal of the "librarian." Typically our professional dialog addresses the fact that we are misrepresented. One area that has not been addressed however, is how we ourselves portray the "librarian." This poster presentation will examine the visual portrayal of librarians in the photographic medium. How do we represent ourselves in our journals, in our newsletters, in our marketing literature, and in other media? Six months worth of our literature will be surveyed and reviewed. We will evaluate presentation style using basic photographic analysis. Not only will we examine the image we are presenting, but we will also evaluate and suggest what we can do to give ourselves a twenty-first century look."
"Using Web-based databases to design Web-based tutorials: the Ovid Web","Connie Schardt, AHIP, education coordinator, Medical Center Library, Duke University, Durham, NC","This poster will explain the process of designing a Web-based tutorial for searching Ovid, from conception of the idea to designing the content and templates, to distribution and sharing of the final product. The Medical Center Library wanted to provide more flexibility in training faculty, residents, and students in the basic searching features of Ovid. This primary clientele had difficulty attending the regularly scheduled Ovid training classes. We thought that developing a Web-based tutorial would give them the flexibility of learning on their own time. The tutorial would have to meet certain design requirements, such as interactivity, ease of use, fast loading screens, succinct content, and provide as much of a "real life" experience as possible. The tutorial was designed using the actual HTML screen from Ovid and incorporating links to the tutorial content to explain and simulate an actual search. Once designed and tested, we made the tutorial available to other medical center and hospital libraries by allowing them to link to our site. We began to receive inquiries from other libraries about the design process and the ability to customize the tutorial to other library needs. It was decided that the best way to share our work was to create a "generic" copy of the tutorial and let individual libraries make modifications to the tutorial for their own use."
"Creating an evidence-based medicine online tutorial: collaboration makes a championship team","Connie Schardt, AHIP, education coordinator, Medical Center Library, Duke University, Durham, NC; Jill Mayer, AHIP, assistant director, NCAHEC Library and Information Services Network; and Bob Ladd, curriculum support specialist; Health Sciences Library, University of North Carolina–Chapel Hill","Librarians from two different medical schools, Duke University and University of North Carolina, have collaborated to develop a Web-based tutorial, called Introduction to Evidence-Based Medicine. Both libraries serve health care clinicians who are eager to learn the basic process behind evidence-based medicine (EBM). Both libraries also wanted to provide a flexible opportunity for students and faculty to learn about EBM through an online environment. A statewide needs assessment conducted by the North Carolina Area Health Education Center (AHEC) Program as part of the process of developing a digital library showed that an online EBM tutorial was highly desirable. To meet these needs, during the summer of 1999 the two librarians worked with a curriculum support specialist to develop the interactive, Web-based tutorial. This poster session will present the challenges involved in creating an online learning experience and present an overview of the EBM tutorial. It will illustrate the teamwork involved in combining content strength with project coordination and design to accomplish the goal. We will specifically address development of the course objectives, planning the development process, beta-testing, developing the evaluation process, and revising the tutorial based on the evaluations. We will have a copy of the tutorial available on a laptop for review by meeting attendees."
