"Title","Authors","Abstract"
"NC Health Info: the first model 'MedlinePlus Goes Local' Website","Christie C. Silbajoris, AHIP, project director; Brian Hilligoss, systems development librarian; and Diana McDuffee, North Carolina Area Health Education Center Library and Information Services Network director; Health Sciences Library, University of North Carolina–Chapel Hill","Objective: This poster illustrates what NC Health Info, the first model 'MedlinePlus Goes Local' Website, looks like today and describes enhancements planned for the future. Methods: NC Health Info, funded through a subcontract with the National Library of Medicine (NLM), is a Web-based database of local health services Websites directly linked to MedlinePlus health topics. NC Health Info was developed by the Health Sciences Library and School of Information and Library Science at the University of North Carolina-Chapel Hill in collaboration with NLM. NC Health Info is one model for other states to follow in the provision of local health services information. This poster illustrates key features of the Website including the home and locations pages, the Quick Start option, and examples of pages containing lists of local resources dynamically generated based on user selections. In addition, the poster will describe a planned enhancement called 'Bridges to Health,' which will address the challenge of correctly characterizing and providing access to practitioner Websites when those Websites do not fully describe the services they offer. Results: The partnership formed between the Health Sciences Library, School of Information and Library Science, and NLM resulted in the creation of NC Health Info, the first prototype 'Go Local' companion Website to MedlinePlus. NC Health Info has been successfully implemented, and NLM is replicating the model for other states to follow. Conclusions: We are monitoring user satisfaction through usability testing and user surveys. Some specific measurements include the conceptual understanding of our homepage, effectiveness of navigation, understanding of terminology and effectiveness of cataloging. In addition, we have received favorable comments from users, health care practitioners and librarians concerning the value of the provision of local health services information linked to MedlinePlus, the user interface and the project's ability to help local organizations promote their services. We are tracking the number of Websites linking to NC Health Info and are analyzing Web traffic logs to uncover patterns in the usage of the site."
"The power of improved practice in action: assembling the health information mosaic in Saskatchewan","Janet Bangma, head, Health Sciences Library, University of Saskatchewan–Saskatoon, Canada, and Susan Powelson, library director, Health Sciences Library, Regina Qu'Appelle Health Region, Regina, SK, Canada","Objective: This poster reports on the creation of the Saskatchewan Health Information Resources Partnership. This is a province-wide, government-funded initiative that will provide access to a suite of online information resources to all hospitals and health care practitioners in the province of Saskatchewan at the place and time of need. Methods: Setting/Population: The University of Saskatchewan Health Sciences Library (HSL) is an academic library serving the colleges of medicine, nursing, dentistry, pharmacy and nutrition and the school of physical therapy. Within the project, the HSL is one partner of many that include The Saskatchewan Academic Health Sciences Network, the Saskatchewan Health Libraries Association, the Saskatoon and Regina Qu'Appelle Health Regions, Saskatchewan Institute of Applied Science and Technology, the University of Regina, as well as the government departments of Saskatchewan Health and Saskatchewan Learning. Brief Description: This poster session reports on the process of transforming a serious Liaison Committee on Medical Education (LCME) accreditation issue at the University of Saskatchewan Health Sciences Library (HSL) into a collaborative, province-wide library project. The University of Saskatchewan HSL was cited in the 2002 LCME accreditation report as being under-resourced. This serious deficiency was a significant factor in the University of Saskatchewan College of Medicine's undergraduate program being placed on probation. This project description details the process of taking an accreditation issue that affected a single institution and, by working collaboratively with health libraries province-wide, developing a solution that benefited not only the HSL but all health care practitioners in Saskatchewan."
"Informing neighborhood health* Funded in part by NLM Grant No. 1 G07 LM007978-01","Jeffrey T. Huber, associate professor, School of Library and Information Studies, and Teresa J. Walsh, assistant professor, College of Nursing, Texas Woman's University–Houston, and Beatriz Varman, assistant director, Public Services, Reference, Houston Academy of Medicine-Texas Medical Center Library, Houston, TX","Objective: The overall goal of the Informing Neighborhood Health outreach project is to facilitate information access at select faith-based health clinics in Harris County, Texas, that primarily serve the homeless and working poor. Methods: The Informing Neighborhood Health project placed Internet-connected workstations at five faith-based clinics in Harris County, Texas, that primarly serve the homeless and working poor. Each participating clinic hosts clinical rotations for Texas Medical Center educational programs. Project workstations were placed in areas convenient for clinical staff to access. A project Web page was created to faciliate access to relevant electronic health information resources. Training was provided for clinic staff and students completing clinical rotations regarding use of electronic health information resources. Each training session included a pre- and post- session evaluation. Results: Project workstations were used by clinic staff and students completing clinical rotations at each participating community clinic throughout the course of the project. Use of workstations to access electronic health information resources has been integrated into existing workflow processes. Conclusions: Project workstations provide access to electronic health information resources that support the practice of evidence-based health care. As a result of this, faculty members who oversee clinical rotations at clinics participating in this project are incorporating use of these resources into their curriculum. For example, community health nursing faculty have added a library orientation session to cover electronic health information resources available via project workstations prior to the beginning of clinical rotations as well as an assignment whereby students must use project workstations and resources during clinical rotations."
"Collection development through visualization: map library holdings and the community served using graphic information systems","Elizabeth La Rue, AHIP, student, School of Information Science, University of Pittsburgh, Pittsburgh, PA","Objective: Use geographic information systems (GIS) software to map public libraries, surrounding demographics, and library collections to determine if the library holdings serve its community. Methods: After geocoding the public libraries in the City of Chicago, ArcGIS software will be used to create a visual representation of the libraries, their holdings and their surrounding demographics. The City of Chicago will be mapped from TIGER files, supported by the US Census Bureau, and census data will provide demographic information. An informal survey measuring consumer health collections will provide the needed information on the library's holdings. Results: Currently, there exists no resource to compare a public library's physical collection with the community it supports. Using spatial aggregation (county, zip code, and street) and different methods of collecting library holdings enough data will be provided to create maps and demonstrate that GIS can be used by libraries in an effective manner to assist in collection development. Conclusions: The outcomes for this project will be the following: •spatial data analysis of a public library's collection supporting its community • visual representation of public libraries in the City of Chicago • visual representation of demographics surrounding the public libraries • visual representation of consumer health collections in the City of Chicago public libraries • adaptation of high-level software to create solutions"
"Pathway through the electronic maze","Alice B. Kuller, reference librarian, Health Sciences Library System, University of Pittsburgh, Pittsburgh, PA","Objective: Concurrent with the rapid expansion of electronic resources in our academic health sciences library is the challenge patrons face in deciding which location tools to use to find appropriate online books and journals. We have observed that finding electronic products is not intuitive, and structured guidance from the reference staff needs to be an essential component of our service. Methods: As an academic health sciences library serving six schools of the health sciences and affiliated teaching hospitals, we have a very diverse user population of students (undergraduate, dental, medical, doctoral, and more), physicians, scientists, faculty, research assistants, technicians, and other staff. Our library offers more than 3,300 full-text books and journals, and the large university with which we are affiliated offers several hundred additional titles in fields related to the sciences and health care. Patrons are aware of the Ovid Full Text products, but many stall and seek reference desk assistance when the item needed is not offered through Ovid. The reference librarians are spending increasing amounts of time helping users find their way through the electronic maze that exists beyond Ovid. We plan to develop a Web-based user's guide that will serve as a pathway to the wide array of electronic resources. Our objective is to clarify with a concise and structured document the approaches that can be utilized to find online titles."
"The power of online searching with words, phrases, and MeSH","helen-ann brown, AHIP, information services librarian; Daniel Cleary, head, Information and Access Services; Diana Delgado, information services librarian; and Louise Falzon, information services librarian; Weill Cornell Medical Library, Weill Cornell Medical College, New York, NY","Purpose: The purpose of this poster is to demonstrate an approach for a teaching moment, library-sponsored workshop, or lessons within a semester course that demonstrate that a search strategy using words, phrases and Medical Subject Headings (MeSH) in PubMed brings complete retrieval for patient care, education, and research. Context: Information resources continue to appear at exponential rates. PubMed is several hundred journals larger with new print and electronic titles. In 2003 alone, an average of 52,000 citations were added monthly. With the popularity of Google, some searchers have adopted a similar approach to searching PubMed, by throwing words and phrases in one searching box to take advantage of PubMed ‘s mapping feature. Other searchers may rely only on MeSH. Both methods retrieve relevent citations, but both methods do not retrieve all possible literature. If one only searches with MeSH, the term will be automatically exploded and subheadings can be attached. However citations without MeSH terms (in- process or before a MeSH term was introduced) will not be retrieved. To retrieve a complete range of literature, one should search with words, phrases, and MeSH in PubMed. Population: All searchers that receive instruction in the Weill Cornell Medical Library: faculty, staff, and students of the NewYork Weill Cornell Medical Center, CIMA faculty and staff, and students in LIS624 'Database Searching in the Health Sciences,' Pratt Institute School of Information and Library Science. Setting: Academic health sciences center Intervention: A lesson plan including goals and objectives that will demonstrate the differences in retrieval when searching with words, phrases, and MeSH."
"Using the principles of The Tipping Point to enhance library services","Patricia Vaughn, education librarian; Elaine M. Attridge, clinical and nursing liaison; Gretchen Naisawald Arnold, AHIP, assistant director, Library Operations; Karen Knight, education coordinator; and Kelly Near, outreach librarian; Information Services, Claude Moore Health Sciences Library, University of Virginia–Charlottesville","Objective: Utilizing the role models identified in Malcolm Gladwell's book, The Tipping Point, and identifying the operating environment of specific user groups within our health system, the University of Virginia Health Sciences Library will develop a methodology with which to evaluate and refine our educational program for specialized services. Methods: Our Library has seen an increased demand for personalized instruction. This trend has encouraged us to evaluate the way we provide our instruction based on context. By identifying each user group within our health system and defining their operating environment, information competencies will be determined. Existing classes may be modified and new ones created to meet these competencies. Classes will then be packaged into clusters and promoted to specific user groups. Contacts will be recorded. Utilizing theories from Gladwell's book, The Tipping Point, we recognize that librarians are natural 'mavens,' and we see an expanded role for our liaisons to act as 'salespeople' in the promotion of these clusters to 'connectors.' Results: The Health Sciences Library: 1. Expanded the liaison program. 2. Created targeted training for specific user groups. 3. Placed new emphasis on user's context. 4. Adopted standardized documentation method based on the subjective, objective, assessment, plan (SOAP) note for retrospective and prospective analysis. Conclusions: We conclude that this is a useful strategy for reaching people who are not regular library users with hopes for creating an epidemic. Further experience with this method will provide additional insights on its effectiveness."
"Delivering distance training to rural health care professionals","Jie Li, AHIP, medical center site coordinator; Judy F. Burnham, AHIP, assistant director, Adminstrative and Regional Services; Justin C. Robertson, AHIP, education coordinator; and Thomas L. Williams Sr., AHIP, director; Biomedical Library, University of South Alabama–Mobile","Objective: This poster reports on a project that delivers distance training to rural health care professionals. The project focuses on using information technology to provide off-site training on information seeking skills for rural practitioners. Setting/Participants: In forming a partnership with rural hospitals, an academic health sciences library seeks to deliver training on multimedia products to rural health care professionals in addition to face-to-face training. Brief description: Traveling to rural areas to provide training on information-seeking skills to rural health professionals is time consuming and costly. The academic health sciences library uses information technology to package training courses combining PowerPoint slides and video instructions. This poster describes the rationale, course design and development, and information technology and software used in the project. It will also electronically demonstrate the multimedia training products. Results: The multimedia tutorials developed are efficient learning tools for rural health care professionals. Rural health care professionals welcome the distance training modules as they are flexible and can be used asynchronously. It is also a great help for librarians, as it is very difficult to schedule training sessions that everyone can attend. It also has high potential to expand the learning tools to patients and their families. Discussion: Multimedia packaged distance training courses provide a practical alternative to face-to-face training for rural health care professionals. It enables the librarians to provide training without traveling long distances, thus saving time and money. Rural health care professionals may access the modules at a time convenient to them and at a pace suitable to their learning style."
"What is the relationship between eating bananas and searching Ovid MEDLINE? Or, feed them, and they will learn!","Marilyn A. Rosen, biomedical information specialist, Edward G Miner library, University of Rochester Medical Center, Rochester, NY","Program Objective: Librarians set out to capture and maintain the attention of first-year medical students in their library classes by distributing different foods as focus activities, or icebreakers, at the outset of each class and relating them to the course content. Setting/Participants: The academic health sciences library serves a school of medicine and dentistry, school of nursing, and 690-bed hospital. The librarians teach a section of the 'Mastering Medical Information' (MMI) course for first-year medical students in a series of six hands-on labs as part of a problem-based curriculum. These classes take place in five computer labs. Program: Some instructors used food sporadically in previous years during MMI and observed that offering food increased the students' attention. Why not try this technique as an opener in all classes, using a more organized approach among all instructors? A subcommittee was given the task of relating each food to the content of the lesson for that day, no matter if the food was a Life Saver or Rice Krispies bar. The explanation for the treats was included with the curriculum outlines. Focus activities without food were also an option. Main Results: The instructors found that no matter what their teaching style ( even if they detested ice breakers), these 'food stories' were easy to incorporate. 'Wow' was a common reaction from the students. Librarians, as well as students, had an opportunity to discuss something they had in common—the food!—at the outset. Evaluations were distributed to every student at the end of the MMI sessions, and the food theme was mentioned as a positive feature in a majority of results. Conclusion: Focus activities gave the instructors a chance to think not only about course content, but also about how students learn. These food openers were so successful that the staff has used food focus activities in other library classes and in their hospital outreach sessions."
"MeSH mapping of medical acronyms across selected systems: a comparative study","Mary Shultz, AHIP, assistant health sciences librarian, Library of the Health Sciences-Urbana, University of Illinois– Chicago, Urbana, IL","Objective: Given the common use of acronyms in the health sciences, searchers may be entering acronyms rather than full phrases when searching online systems. The purpose of this study is to evaluate how various MEDLINE/Medical Subject Headings (MeSH) interfaces map acronyms to the MeSH vocabulary. Methods: The interfaces to be used in this study include: the PubMed MeSH Browser, the PubMed Automatic Term Mapping feature, the NLM MeSH Browser, the NLM Gateway Find Terms option, and Ovid MEDLINE. Acronyms will be randomly selected from the Dictionary of Medical Acronyms & Abbreviations, 4th edition, by Jablonski. The test data will include fifty acronyms whose related meanings are MeSH terms. Each acronym will be entered into each MEDLINE/ MeSH interface to determine if it actually maps to the corresponding MeSH term. A comparison will be made across the selected interfaces to determine variations in the accuracy of acronym mapping to MeSH. Preliminary tests indicate that differences among interfaces do exist. Results: The results of this study demonstrate that the selected interfaces differ widely in mapping acronyms to MeSH. It was also found that successful mapping of acronyms to MeSH is generally low across all interfaces studied. Conclusions: This study demonstrates the differences in effective mapping between the systems tested. Searchers may receive different results in the different MEDLINE interfaces, even when the same acronym is searched. This finding is important when selecting a search interface and when instructing users."
"New tool for displaying the search results from PubMed as a matrix","Bradley W. Otterson, biomedical librarian, NIH Library, National Institutes of Health, Bethesda, MD","Objective: To identify PubMed searches for which a matrix display of search results will enhance or simplify retrieval analysis using a new tool called PubMatrix. PubMatrix was designed for searching National Center for Biotechnology Information (NCBI) databases to retrieve, display, and compare records for cDNA microarrays. The tool has potential uses for analyzing the literature for non-gene-type records, such as meta-analyses, evidence-based medicine (EBM), trends, and data mining. Methods: Develop a series of experimental searches and enter them into PubMatrix. The searches are conducted via the PubMed interface to the MEDLINE database. The retrieval from each search is displayed in a matrix that can be visually analyzed, individually queried, and automatically archived. If the tool is useful for non-genetic-type purposes, it will provide a visual and numerical analysis of the retrieval, allowing the searcher to save time and effort while improving service and practice. Searching PubMatrix is available at pubmatrix.grc.nia.nih.gov. It is provided by the National Institute on Aging at the National Institutes of Health. Results: PubMatrix processes the searches and creates a matrix of the results. The matrix is useful for comparing and visualizing non-genetic-type searches that contain simple combinations of terms such as diseases, treatments, outcomes, and dates. PubMatrix can process 100 search strings at one time, but only the search strings with fewer than 65 characters are compared and displayed. This constraint limits the versatility of the system. The data from the matrix can be loaded into Excel for creating different graphics of the retrieval. Conclusions: PubMatrix is a tool that librarians can use to search simple combinations of terms and to present the results in a visual format to their users. Users will find value in the visual presentation of complex data, giving librarians another resource at their command as they focus on providing knowledge, not mere data."
"Reinventing the library orientation as an information fair: a collaborative venture","Carlos I. Rodriguez, medical school liaison; Frank Campbell, health sciences libraries liaison/Web coordinator; Melanie Cedrone, biology and biomedical graduate studies liaison; D'Maris Coffman, IT support specialist; Bentley Jenson, head, Access and Document Delivery Services; Varvara Kountouzi, coordinator, Education and Research Services; Gretchen Kuntz, clinical liaison; Sherry Morgan, school of nursing liaison; Linda Rosenstein, associate director, Information Resources; Anne Seymour, associate director; Biomedical Library; and Rod MacNeil, manager, Customer Services, School of Medicine Information Services; University of Pennsylvania–Philadelphia","Objective: Reinvent the library orientation as a fair to: (1) improve student attendance, (2) create awareness of the library resources and services, (3) have a fun event, and (4) create a template for future library orientations. Methods: During orientation week, 150 first-year medical students are given several hours of free time in which they can attend an event, e.g., library orientation, financial aid counseling, etc., of their choice. In the past, many students considered library orientations as boring; therefore, they were poorly attended. To overcome negative student perceptions, the Biomedical Library reinvented the library orientation as a theme-based information fair with a raffle and giveaways. The library collaborated with the Medical School's Office of Student Affairs and Department of Information Technology Services (ITS), to hold its first Information Fair, 'Passport to Information.' The focus was for the students to have fun and learn about the library/ITS resources. Information stations (Destinations) were created to highlight library/ITS resources. Each student received a Passport, which served both as a guide to destinations and as the raffle ticket. The students were free to visit the destinations in any order, get their passports stamped, stay for as long as they wanted, and pick up giveaways. Information fair attendance was determined by doing a head count, and figures were compared with prior library orientation statistics. User satisfaction was evaluated anecdotally by random exit poll questioning, comments written on raffle books, and voluntary comments made by students. Results: Attendance improved from 50% (75 students out of 150) to 99% (148 out of 150 students). After the fair, students asked for resources that had been highlighted at the fair. Students associate the library with people rather than just a place. The planning and implementation of the fair lifted staff morale. A successful template was created for future library fairs. Conclusions: Students prefer a theme-based information fair over a traditional library orientation. However, student attendance at the fair is dependent upon which times the students are free and which events are competing with the fair. Also, a key to successful information fairs is to choose willing and appropriate partners."
"Everyone benefits from clear communication: how can a hospital library be a catalyst for plain language?","Carolyn J. Paul, senior librarian, Access Services; Deborah Jameson, AHIP, librarian; Julia Whelan, AHIP, senior outreach librarian; and Elizabeth Schneider, AHIP, director; Treadwell Library, Massachusetts General Hospital–Boston","Objective: Plain language is writing and speaking in a clear and effective way. Our goal is to create a self-sustaining plain language training program that benefits both patient and hospital. Clinician use of plain language raises health literacy. Staff use of plain language makes all forms of communication more productive. Methods: Setting/Participants: Large urban teaching hospital. The program is open to all departments and clinics. Program: • The library director joins with key staff from other areas to bring in a plain language trainer for a series of two-day workshops. There are three levels of training. Each workshop earns twelve contact hours. • The library and patient education committee plan a daylong event for National Health Literacy Month. • The library offers a lunchtime working group each month and a Web page with resources • The hospital and library use the American Medical Association Health Literacy video to create awareness and promote the workshops. Results: Three beginning-level and two advanced-level workshops train 100 staff from diverse disciplines throughout the hospital. The lunchtime working group attracts 8-10 people each month. Projects include the revision of: patient teaching material, consent forms, and translations into other languages. Conclusion: Librarians can be leaders in bringing plain language to their workplace. The library offers a place for people to meet, resources for learning, and a staff with enthusiasm for clear writing and speaking. Above all, the library serves as a catalyst for collaboration among groups."
"Health literacy and consumers: from theory to practice","Michelle Ochillo, NLM associate fellow, Arizona Health Sciences Library, University of Arizona–Tucson","Objective: The Arizona Health Sciences Library, University of Arizona (AHSL), developed a workshop to educate public health professionals and public librarians on the barriers encountered by patients and consumers when attempting to understand health information provided to them by their health care provider or when searching on the Internet. The workshop includes effective strategies to use to improve health communications to patients and consumers, including using Internet resources that are especially sensitive to health literacy issues. Methods: AHSL is a large academic library located in an urban area of a largely rural state. As a part of the Arizona Turning Point Project, workshops have been conducted throughout the state with the goal of educating and disseminating public health information to health professionals and librarians. Arizona is one of twenty-three states that received funding from the Robert Wood Johnson Foundation to strengthen and transform the public health infrastructure in the United States. The goal of Arizona Turning Point Project is to improve the public health system on a community level by providing training and disseminating health information in public and non-public health programs in Arizona. The Health Literacy workshop defines what health literacy is and the barriers and strategies that can improve health communications between providers and consumers. Additional topics address: what populations are likely to have health literacy issues, the impact of health literacy on health care costs, preparing and evaluating patient education materials, and health communication and special populations. The workshop will be presented in all fifteen counties to both public librarians and public health professionals."
"Seize the power: librarian roles in developing and implementing enterprise-wide Health Insurance Portability and Accountability Act training","Shelley Bader, AHIP, associate vice president, Educational Resources, and Alexandra Gomes, assistant director, Technology and Curriculum, Himmelfarb Library, George Washington University Medical Center, Washington, DC","Objective: Librarians were charged with the responsibility of designing a Health Insurance Portability and Accountability Act (HIPAA) training program for all medical center staff and students. The program needed to include all key HIPAA issues and be accepted as training by the affiliated covered entities visited by students and residents. Continuing medical education (CME) certification was desired for faculty completing the training. Methods: The associate vice president educational resources, chair of the HIPAA Education Committee, asked the library's assistant director, Technology & Curricular Services to collaborate in developing a web-based HIPAA training module for the medical center. Content was based on materials from an outside legal expert. Special attention was given to clinical scenarios illustrating key issues in HIPAA regulations. The librarians drafted the module, which was reviewed by legal counsel (for accuracy), the School of Medicine & Health Sciences, and the Graduate Medical Education Office. The module was piloted with a student group and revised. The final module with test questions was disseminated using the university's course management tool. A corresponding module was prepared and tested for CME credit. The Graduate Medical Education (GME) Office submitted the module to affiliates and received approval for compliance. Librarians coordinated this mandatory training program with academic units. Results: In Phase 1, over 2,900 people completed HIPAA training. The program was shared with the University for implementation with selected groups (e.g., speech pathology, clinical psychology, student health). Feedback was overwhelmingly positive (scenarios reinforced understanding of HIPAA's impact on clinical practice), though comments expressed dismay about the program's length and legalese. An update about the security rules released later in the year was emailed to all participants and incorporated into the module. Phase 2 focused on training all new students and residents for 2003/04. Phase 3 addresses the need to migrate the module to the university's new course management system. Conclusions: This successful implementation created the opportunity to participate in the development and implementation of a second mandatory clinical training program for the medical center. We were asked to modify and coordinate the dissemination of the hospital's 2004 National Patient Safety Goals training materials for use by medical students and residents."
"The state of eating disorders research publications 1980–2000: an empirical analysis","Mary J. Markland, AHIP, Southeast Clinical Campus librarian, Harley E. French Library of the Health Sciences; and Stephen A. Wonderlich, associate chair/professor; James E. Mitchell, chair/professor; Ross D. Crosby, director, Biomedical Statistics & Methodology; and Martina de Zwaan, research scientist; Department of Neuroscience, Neuropsychiatric Research Institute; School of Medicine & Health Sciences, University of North Dakota–Fargo","Objective: In the following project, a librarian's skill and experience were essential components in evaluating a body of literature. The authors examined the eating disorders literature to answer three questions: what is the quality of eating disorders publications, has the quality of eating disorders publications changed over time, how does the quality of eating disorders literature compare to publications in anxiety. Methods: Faculty and staff from the University of North Dakota Neuroscience Department and the Neuropsychiatric Research Institute collaborated with the clinical campus librarian to develop a strategy for evaluating the eating disorders and anxiety literature. The researchers created a 75- item rating instrument based on the recommendations of the American Psychological Association (APA) Task Force on Statistical Inference. Comprehensive search strategies were developed using PubMed and PsycINFO to identify articles to evaluate. The search results were imported into EndNote. Seven hundred and fifty articles were obtained, and 476 articles met the evaluation criteria. Each article was then read by 2 raters who used the rating instrument and evaluated the article. A rule book was created to assist the raters in answering the rating instrument questions. The raters were blind to author, journal, and author affiliation. The statistical analysis was done using hierarchical log linear analysis. Results: The major results of the evaluation found that eating disorder publications tend to be less methodologically rigorous than anxiety publications in important areas such as structured interviews, random assignment, prospective longitudinal design, and blind outcome assessment. Both the eating disorders and anxiety literature have shown improvement in methodological rigor over the last twenty years. However, the majority of articles in both disciplines do not include many of the APA Task Force on Statistical Inference recommendations such as confidence intervals, clinical significance, a priori power analysis, and alpha constraint. Conclusions: In conclusion, the literature of eating disorders is improving in quality over time as compared to the anxiety literature. Both fields of study need to better utilize the APA Task Force on Statistical Inference recommendations to improve the quality of their publications."
"Development of the INASP Health Links Website, a gateway to more than 600 selected Websites for health professionals, medical library communities, publishers, and nongovernmental organizations in developing and transitional countries","Lenny Rhine, assistant director, Collection Management, Health Science Center Libraries, University of Florida– Gainesville","Objective: The objective of the INASP Health Links project is to develop a gateway that assists health professionals and health information workers in developing and transitional countries in utilizing information on the Internet. Use of the gateway facilitates the bridging of the information gap between the 'North' and the 'South.' This poster discusses the development of the gateway including the selection and evaluation criteria used to review potential websites and the design criteria. Methods: The INASP Health Links (www.inasp.info/health/ links/) consists of three sections. Each section has several pages of hyperlinks, arranged alphabetically. Each hyperlink carries a brief description of the site concerned. The three sections are general health resources, specified health resources and library and publishing support and use of ICTs. INASP Health Links is compiled, updated, and maintained by Lenny Rhine, Health Science Center Library, University of Florida. It is monitored by Neil Pakenham-Walsh, manager, INASP Health Programme, and a voluntary Advisory Group coordinated by Christine Wamu Kanyengo, medical librarian at the University of Zambia. Individual pages of INASP Health Links are advised by Subject Expert Advisers. The INASP Health Links sites are selected and evaluated according to criteria adapted from the evaluation questions developed by the Special Advisory Group on Evaluation for BIOME/OMNI, a gateway to Internet resources in the health and life sciences. The first essential criterion is that the site contains information that is relevant for developing and transitional countries. In addition, selected sites must fulfill at least five of the following six criteria: • Authority: Does the information come from a reliable source? • Coverage: Does the resource cover the subject adequately? • Presentation: Is the source professionally presented? Are there any typographical or grammatical errors? • Currency: Is the information kept up to date? • Cost: Is the resource free of charge? • Freedom of use: Can the contents be freely adapted and redistributed to local end users? Conclusions: The INASP Health Links gateway is a useful tool for accessing relevant health information on the Internet. The volume of use in developing and industrialized countries continues to grow."
"Pestilence throughout the ages","Patricia A. Auflick, outreach services librarian, and Andrew A. Padua, student, Arizona Health Sciences Library, University of Arizona–Tucson","Objective: The purpose of this poster is to look at epidemics throughout history and how public health addressed these events. Methods: History is rife with events that have influenced and shaped our nation and the world such as the loss of 8.5 million lives during World War I (WWI). But these political and historical events often pale in comparison to public health events, which have had a more profound effect. Take for example, the influenza epidemic of 1918–1919 that followed on the heels of WWI and cost more than 20 million people their lives. This poster will look at epidemics that have occurred throughout history, the number of people affected and the lives that were lost, and the public health response to these catastrophic events."
"A reusable template for evaluating point-of-care information products","Patricia Weiss Friedman, reference librarian, and Andrea M. Ketchum, reference librarian, Health Sciences Library System, University of Pittsburgh, Pittsburgh, PA","Objective: For evaluation of commercial Web-based point-of- care information products aimed at primary care clinicians, develop a reusable template that enables structured comparison of content, interface, and features and can inform subscription decisions but is independent of any particular product or version. Methods: Based on communication among participating librarians, a working list of point-of-care products of interest and a preliminary list of questions about them were developed. Questionnaire topics included scope, organization, and content development methods; product architecture and interface navigation; potential for integration with other environments; and product niche as perceived by its vendor. Questions were organized into outline format, then refined into a structured interview questionnaire. Interviews, in person or by phone, were conducted with representatives for PDxMD (MDConsult), InfoRetriever, Clineguides (Ovid), and DISEASEDEX (Thomson). Questionnaire structure provided the basis for a product comparison grid that was populated with text as interviews were completed. For at-a-glance comparison in checklist form, an attribute field was added to the grid, interview responses were analyzed into single product attributes, one per row, and attribute presence in each product was indicated by check marks. Results: Just as the questionnaire's modular structure facilitated display of interview data in different formats, it also simplified extraction of a subset of questions to be answered by reference librarians during hands-on product testing. Questions about scope, organization, content development methods, and interface navigation were selected for this phase of testing. Some testers requested question clarification, suggesting that not all questions are equally generalizable to all products, which would hamper their reuse. However, all testers were ultimately able to submit answers. Also, question relevance was not affected by product changes, such as the emergence of Skolar from what had been Clineguides. Conclusions: With its modular structure, the questionnaire template provides a flexible, reusable tool for evaluating point- of-care products. Appropriate question subsets can be extracted for different populations (such as product representatives and reference librarians) and for administration in different circumstances (by interviewer during live encounter and self- administration during hands-on product use)."
"Consumer health information Websites: the state of the art","Andrea Ketchum, special projects librarian, Health Sciences Library System, University of Pittsburgh, Pittsburgh, PA","Purpose: In preparation for redesigning the Health Sciences Library System (HSLS) consumer health information (CHI) Website for the System (HSLS of the University of Pittsburgh, an informal survey of Consumer Health Information Websites was conducted to identify trends in format and content. Subjects/Resources: The first ten returned pages from a Google search for 'university ‘Consumer Health Information'' produced thirty Websites from sixteen states and three from Canada. These were primarily from academic settings, but included two public libraries and two hospital libraries with formal relationships to universities. A few university CHI sites had ties to commercial entities, such as insurance companies. Government sites were not included in the survey. Methodology: The Websites were analyzed for structure (12 fields) and content (17 fields). Results: The most common Website design was a one-page scrolling list of external and internal links (97%), with contact information (79%) and a last update notice (55%). The least common web sites featured interactive tools (3%), advertisements (6%), and a more complex design, including multiple frames (6%), navigation tabs (6%), tables (12%), and a site map (15%). Medical news and alternative medicine were the most frequently offered specialized subject categories, appearing in twelve (36%) of the Websites. It was most interesting that the majority of the sites were organized by format of information resources such as dictionaries, handouts, journals, and Websites (61%), rather than by subject (39%)."
"PDA power at the bedside: a comparison of the use of 5 Minute Clinical Consult by medical and physician assistant students and residents","Patricia Wilson, associate director, Public Services; Richard Billingsley, coordinator of information and instruction; and Leah Pellegrino, head, Cataloging and Reserves; Himmelfarb Health Sciences Library, The George Washington University, Washington, DC","Objective: To compare personal digital assistant (PDA) use by third- and fourth-year medical students, second-year physician assistant students, and residents in the clinical setting and using the feedback to plan further PDA programs. Methods: The library was investigating PDA resources when a medical education grant was received. The funds were allocated to the PDA Committee to evaluate products using the following criteria: Palm and Personal PC operating systems compatibility, ease of use, depth of information, product cost, and target audience. Skyscape's 5 Minute Clinical Consult (5MCC) was selected for this pilot project. The project focused on residents and students doing clinical rotations. Registration was required to receive the software and loading instructions. Student lists ensured that only the target groups received free software. A short questionnaire was developed to evaluate usage in the clinical setting. The questionnaire, sent via email, provided feedback. Results: Of potential respondents, 43.6% received their complementary copy of 5MCC and had 5 to 7 months to use it. Thirty-eight responses have been received (28 medical students, 9 residents, 1 physician assistant student). Of these, 24 used other medically related software on their PDA. Medical students chose more basic resources while residents selected drug guides and medical calculators. Sixty-seven percent reported using their PDA 'all the time'; 60% reported using PDA software for drug information, 10% for medical calculators, 29% for disease etiology or epidemiology, 26% for diagnosis, and 32% for treatment decisions. Overall, 24% reported using 5MCC on a regular basis. Fifty percent used 5MCC to obtain background information on specific conditions, and 53% to enhance their own knowledge. Eighty- nine percent stated that the software improved their work in clinical/patient care situations. All would recommend 5MCC to others. Conclusions: Data suggest that individuals familiar with PDAs tended to rely more heavily on them as sources for clinical information. Medical and physician assistant students in a clinical setting reported using 5MCC as a source of primary clinical information more frequently than the residents. Usage patterns suggest this is a good choice as a basic clinical information tool for students."
